Load,Temp,Peak,Flat,Valley,Weekday,Weather
0.3362,0.5,0.6,0.1029,0.4464,1,0.333
0.3893,0.5833,0.65,0.3382,0.5536,1,1
0.4944,0.75,0.425,0.3529,0.7143,1,0.6667
0.5149,0.6667,0.3,0.2059,0.375,0,0.6667
0.2597,0.6667,0.925,0.75,0.6071,0,0.6667
0.3413,0.5833,1,0.6471,0.1786,1,0
0.4388,0.75,0.975,0.75,0.3929,1,0.6667
0.6483,0,0.775,0.6765,0.3571,1,0.6667
0.6017,0.75,0.8,0.6618,0.2679,1,1
0.8215,0,0.25,1,0.125,1,0.6667
0.8809,0.9167,0.225,0.4412,0,0,0.6667
0.6343,1,0.475,0.5,0.3035,0,1
0.7027,0.6667,0.425,0.4853,0.2679,1,0.6667
0.7122,0.6667,0.4,0.4559,0.1607,1,0.6667
0.8509,0.6667,0.425,0.4706,0.25,1,0.6667
0.937,0.5,0.275,0.2353,0.2857,1,0.6667
1,0.6667,0,0,0.0357,1,0
0.7195,0.75,0.1,0.2794,0.3214,1,0.6667
0.5694,0.3333,0.325,0.3235,0.1607,0,0
0,0.5833,0.7,0.7647,1,0,0.6667
