Load,Temp,Peak,Flat,Valley,Weekday,Weather
0.1932,0,0.5867,0.5984,0.6271,1,0.6667
0.0334,0.0588,0.96,0.6885,0.6271,1,1
0.2965,0.4706,0.8133,0.6557,0.5424,1,0.6667
0.8111,0.1176,0.1067,0.7787,0.2203,0,0.6667
0.0616,0.5294,0.84,0.8689,0.7288,0,0.6667
0.2699,0.4118,0.8667,0.7541,0.7119,1,1
0.0463,0.4118,0.9333,0.8197,0.6271,1,0.6667
0.2846,0.6471,0.8933,0.582,0.6441,1,1
0.4223,0.7059,0.8667,0.3689,0.4915,1,1
0.3941,0.7647,0.8267,0.1475,0.5593,1,1
0.9494,0.8235,0.3867,0.3607,0.7288,0,1
0.161,0.5882,1,0.2623,0.1695,0,1
0.0242,0.4706,0.9867,0.9672,0.9661,1,1
0,0.7647,1,1,1,1,0.8333
0.2922,0.4706,0.84,0.8525,0.6441,1,0.6667
0.7899,1,0.24,0.3443,0.0847,1,0.6667
0.598,0.1765,0.1333,0.4918,0.2203,1,0.6667
1,0.1176,0,0,0,0,0.6667
0.1073,0.2941,0.8667,0.9344,0.7966,0,0.6667
0.104,0.1176,0.8533,0.9426,0.7627,1,0
