Load,Temp,Peak,Flat,Valley,Weekday,Weather
0.0199,0.2667,0.7075,1,1,1,0
0.7518,0.2,0.7823,0.3141,0.1925,1,0
0.9196,0,0.3878,0.2618,0.1127,1,0
0.7333,0.0667,0.3946,0.3351,0.216,1,0.5
0.7723,0.3333,0.3605,0.288,0.2019,1,0
0.8434,0.2,0.2041,0,0,0,0
0.4518,0.1333,0.5442,0.3194,0.3146,0,0
0.1032,0.2,0.7959,0.5288,0.5915,1,1
0.7781,0.3333,0.3537,0.2827,0.1925,1,1
0.9497,0.3333,0.1497,0.2408,0.0141,1,1
0.9472,0.6,0.1565,0.2356,0.0234,1,1
1,0.6667,0,0.1571,0.0141,1,1
0.9639,0.6,0.1701,0.2199,0.0188,0,1
0.3118,0.4667,0.7755,0.4764,0.5634,0,1
0,0.7333,1,0.3351,0.4507,1,1
0.416,0.8,0.8027,0.3246,0.3192,1,1
0.6153,0.8667,0.7415,0.3141,0.108,1,0.5
0.5058,0.8667,0.7823,0.3508,0.3052,1,0.5
0.2779,1,0.7823,0.5183,0.554,1,1
0.3619,0.7333,0.7755,0.3193,0.3662,0,0.5
