time,load
2022/6/1 0:00,1114.3
2022/6/1 0:15,1199.2
2022/6/1 0:30,1215.4
2022/6/1 0:45,1243.3
2022/6/1 1:00,1382
2022/6/1 1:15,1207.5
2022/6/1 1:30,1192.4
2022/6/1 1:45,1309.1
2022/6/1 2:00,1734.9
2022/6/1 2:15,1766.4
2022/6/1 2:30,2176
2022/6/1 2:45,2237.7
2022/6/1 3:00,2235
2022/6/1 3:15,2474.2
2022/6/1 3:30,2542.4
2022/6/1 3:45,2626.4
2022/6/1 4:00,2647.6
2022/6/1 4:15,3023.9
2022/6/1 4:30,3029.7
2022/6/1 4:45,3367.5
2022/6/1 5:00,3348.6
2022/6/1 5:15,4507.8
2022/6/1 5:30,5390.1
2022/6/1 5:45,5255.8
2022/6/1 6:00,5060.2
2022/6/1 6:15,4535.2
2022/6/1 6:30,3957.1
2022/6/1 6:45,2747.3
2022/6/1 7:00,1916.8
2022/6/1 7:15,908
2022/6/1 7:30,390.7
2022/6/1 7:45,236.8
2022/6/1 8:00,195.8
2022/6/1 8:15,174.4
2022/6/1 8:30,169.7
2022/6/1 8:45,208.7
2022/6/1 9:00,218.1
2022/6/1 9:15,156.6
2022/6/1 9:30,88.8
2022/6/1 9:45,104.6
2022/6/1 10:00,168.9
2022/6/1 10:15,211.8
2022/6/1 10:30,406.3
2022/6/1 10:45,355.8
2022/6/1 11:00,392.8
2022/6/1 11:15,775.7
2022/6/1 11:30,1447.8
2022/6/1 11:45,2341.2
2022/6/1 12:00,2746.9
2022/6/1 12:15,2669.1
2022/6/1 12:30,2680.6
2022/6/1 12:45,2628.8
2022/6/1 13:00,2908.1
2022/6/1 13:15,3002.7
2022/6/1 13:30,2729.5
2022/6/1 13:45,3145.4
2022/6/1 14:00,3065
2022/6/1 14:15,2060.3
2022/6/1 14:30,1368.8
2022/6/1 14:45,1290.9
2022/6/1 15:00,1316.4
2022/6/1 15:15,1755
2022/6/1 15:30,2360.4
2022/6/1 15:45,2733.5
2022/6/1 16:00,2798.2
2022/6/1 16:15,3000.1
2022/6/1 16:30,2907.2
2022/6/1 16:45,3586.7
2022/6/1 17:00,4975.3
2022/6/1 17:15,5685
2022/6/1 17:30,5991.3
2022/6/1 17:45,6135.7
2022/6/1 18:00,5563.8
2022/6/1 18:15,4920.6
2022/6/1 18:30,3455.1
2022/6/1 18:45,2183.8
2022/6/1 19:00,1077.1
2022/6/1 19:15,948.5
2022/6/1 19:30,699.3
2022/6/1 19:45,567.5
2022/6/1 20:00,546.8
2022/6/1 20:15,678.9
2022/6/1 20:30,962
2022/6/1 20:45,929.9
2022/6/1 21:00,745.4
2022/6/1 21:15,830.5
2022/6/1 21:30,956.5
2022/6/1 21:45,718
2022/6/1 22:00,777.5
2022/6/1 22:15,830.1
2022/6/1 22:30,878.1
2022/6/1 22:45,805.9
2022/6/1 23:00,732.5
2022/6/1 23:15,1084.8
2022/6/1 23:30,1329.8
2022/6/1 23:45,1560
2022/6/2 0:00,1364.6
2022/6/2 0:15,1224.8
2022/6/2 0:30,1300.6
2022/6/2 0:45,1611
2022/6/2 1:00,1628.3
2022/6/2 1:15,2068.6
2022/6/2 1:30,2016.1
2022/6/2 1:45,1933.4
2022/6/2 2:00,2209.7
2022/6/2 2:15,2502.4
2022/6/2 2:30,2638.7
2022/6/2 2:45,2536.3
2022/6/2 3:00,2678.6
2022/6/2 3:15,2958.5
2022/6/2 3:30,2840.6
2022/6/2 3:45,2922.6
2022/6/2 4:00,2834.1
2022/6/2 4:15,2651.4
2022/6/2 4:30,2906.5
2022/6/2 4:45,3305.9
2022/6/2 5:00,4025.2
2022/6/2 5:15,4510.9
2022/6/2 5:30,4519.9
2022/6/2 5:45,4763.6
2022/6/2 6:00,4488.1
2022/6/2 6:15,3515.9
2022/6/2 6:30,2357.8
2022/6/2 6:45,1579.6
2022/6/2 7:00,740.5
2022/6/2 7:15,568.8
2022/6/2 7:30,494.3
2022/6/2 7:45,384.1
2022/6/2 8:00,170.3
2022/6/2 8:15,142.8
2022/6/2 8:30,103
2022/6/2 8:45,168.7
2022/6/2 9:00,110.9
2022/6/2 9:15,86.5
2022/6/2 9:30,22.9
2022/6/2 9:45,22.5
2022/6/2 10:00,44.1
2022/6/2 10:15,213.3
2022/6/2 10:30,389.1
2022/6/2 10:45,525.8
2022/6/2 11:00,933.4
2022/6/2 11:15,1302.6
2022/6/2 11:30,1499.9
2022/6/2 11:45,3620.5
2022/6/2 12:00,4540.6
2022/6/2 12:15,4483.7
2022/6/2 12:30,4421.7
2022/6/2 12:45,5175.1
2022/6/2 13:00,5036.7
2022/6/2 13:15,4605.8
2022/6/2 13:30,3568.9
2022/6/2 13:45,2890
2022/6/2 14:00,1843
2022/6/2 14:15,1377.4
2022/6/2 14:30,1350.2
2022/6/2 14:45,1166
2022/6/2 15:00,1966.8
2022/6/2 15:15,2165.9
2022/6/2 15:30,2867.2
2022/6/2 15:45,2915
2022/6/2 16:00,2843.1
2022/6/2 16:15,3337.6
2022/6/2 16:30,3627.4
2022/6/2 16:45,4620.1
2022/6/2 17:00,5180.7
2022/6/2 17:15,5764.9
2022/6/2 17:30,6237.2
2022/6/2 17:45,6642.5
2022/6/2 18:00,6156.4
2022/6/2 18:15,5209.1
2022/6/2 18:30,3917
2022/6/2 18:45,2756
2022/6/2 19:00,1694.2
2022/6/2 19:15,1105.7
2022/6/2 19:30,727
2022/6/2 19:45,723.7
2022/6/2 20:00,589.1
2022/6/2 20:15,636.4
2022/6/2 20:30,880.7
2022/6/2 20:45,785.3
2022/6/2 21:00,998.9
2022/6/2 21:15,1134
2022/6/2 21:30,908.5
2022/6/2 21:45,958.2
2022/6/2 22:00,857.2
2022/6/2 22:15,1108.6
2022/6/2 22:30,974.7
2022/6/2 22:45,1194.8
2022/6/2 23:00,1028.7
2022/6/2 23:15,1060
2022/6/2 23:30,1506.2
2022/6/2 23:45,1382.4
2022/6/3 0:00,1413.5
2022/6/3 0:15,1254.2
2022/6/3 0:30,1361.8
2022/6/3 0:45,1472.3
2022/6/3 1:00,1288.6
2022/6/3 1:15,1108.6
2022/6/3 1:30,1314
2022/6/3 1:45,1562.2
2022/6/3 2:00,1578.2
2022/6/3 2:15,1775.1
2022/6/3 2:30,2148.7
2022/6/3 2:45,2168.8
2022/6/3 3:00,2073.5
2022/6/3 3:15,2494.2
2022/6/3 3:30,2384
2022/6/3 3:45,2295
2022/6/3 4:00,2174.6
2022/6/3 4:15,2090.5
2022/6/3 4:30,2213.2
2022/6/3 4:45,3000.5
2022/6/3 5:00,3272.2
2022/6/3 5:15,4317.5
2022/6/3 5:30,5111.5
2022/6/3 5:45,4772.3
2022/6/3 6:00,4475
2022/6/3 6:15,3592.8
2022/6/3 6:30,2604.2
2022/6/3 6:45,1373.8
2022/6/3 7:00,871.4
2022/6/3 7:15,557
2022/6/3 7:30,262.7
2022/6/3 7:45,302.7
2022/6/3 8:00,253.1
2022/6/3 8:15,188.4
2022/6/3 8:30,148
2022/6/3 8:45,154.7
2022/6/3 9:00,136.8
2022/6/3 9:15,136.1
2022/6/3 9:30,170.7
2022/6/3 9:45,181.4
2022/6/3 10:00,175.7
2022/6/3 10:15,186
2022/6/3 10:30,221.6
2022/6/3 10:45,437
2022/6/3 11:00,470.5
2022/6/3 11:15,689
2022/6/3 11:30,1173.9
2022/6/3 11:45,3539.8
2022/6/3 12:00,4662.9
2022/6/3 12:15,5132.6
2022/6/3 12:30,5544.7
2022/6/3 12:45,5857.2
2022/6/3 13:00,6237.5
2022/6/3 13:15,5204.5
2022/6/3 13:30,4791.5
2022/6/3 13:45,3488.2
2022/6/3 14:00,2417.1
2022/6/3 14:15,1704.4
2022/6/3 14:30,1554.5
2022/6/3 14:45,1704.1
2022/6/3 15:00,2352.2
2022/6/3 15:15,2864.6
2022/6/3 15:30,3274.6
2022/6/3 15:45,3199.9
2022/6/3 16:00,3685.9
2022/6/3 16:15,3798.7
2022/6/3 16:30,4090.4
2022/6/3 16:45,4977.2
2022/6/3 17:00,5638.8
2022/6/3 17:15,6314.3
2022/6/3 17:30,7176.8
2022/6/3 17:45,7769.7
2022/6/3 18:00,7518.1
2022/6/3 18:15,6979.5
2022/6/3 18:30,5500.7
2022/6/3 18:45,3826.4
2022/6/3 19:00,2374.3
2022/6/3 19:15,1464.3
2022/6/3 19:30,1150.3
2022/6/3 19:45,886.3
2022/6/3 20:00,852.1
2022/6/3 20:15,986.3
2022/6/3 20:30,943.2
2022/6/3 20:45,939.4
2022/6/3 21:00,1204.2
2022/6/3 21:15,1053.7
2022/6/3 21:30,1203.9
2022/6/3 21:45,1398.7
2022/6/3 22:00,1419.3
2022/6/3 22:15,1310.2
2022/6/3 22:30,1313.5
2022/6/3 22:45,1389.5
2022/6/3 23:00,1453.8
2022/6/3 23:15,1655.8
2022/6/3 23:30,1664.5
2022/6/3 23:45,1967.1
2022/6/4 0:00,1407.5
2022/6/4 0:15,1632
2022/6/4 0:30,1544.9
2022/6/4 0:45,1904.5
2022/6/4 1:00,2258.7
2022/6/4 1:15,2543.2
2022/6/4 1:30,2650.6
2022/6/4 1:45,2601
2022/6/4 2:00,2703
2022/6/4 2:15,2739.6
2022/6/4 2:30,3093.1
2022/6/4 2:45,3372.7
2022/6/4 3:00,3557.1
2022/6/4 3:15,4234.9
2022/6/4 3:30,4537.7
2022/6/4 3:45,4268
2022/6/4 4:00,3943.4
2022/6/4 4:15,3539.2
2022/6/4 4:30,3713.6
2022/6/4 4:45,4419.6
2022/6/4 5:00,4949.6
2022/6/4 5:15,5282.7
2022/6/4 5:30,5101.8
2022/6/4 5:45,5093.3
2022/6/4 6:00,4299
2022/6/4 6:15,3314.6
2022/6/4 6:30,2477.8
2022/6/4 6:45,1783.9
2022/6/4 7:00,915.7
2022/6/4 7:15,577.3
2022/6/4 7:30,419.4
2022/6/4 7:45,212
2022/6/4 8:00,159.8
2022/6/4 8:15,88.8
2022/6/4 8:30,57.7
2022/6/4 8:45,62.4
2022/6/4 9:00,108.9
2022/6/4 9:15,74.5
2022/6/4 9:30,31.2
2022/6/4 9:45,141.8
2022/6/4 10:00,57.1
2022/6/4 10:15,153.9
2022/6/4 10:30,203.9
2022/6/4 10:45,270.9
2022/6/4 11:00,561
2022/6/4 11:15,954.5
2022/6/4 11:30,2238.8
2022/6/4 11:45,4174.7
2022/6/4 12:00,4850.3
2022/6/4 12:15,5039.7
2022/6/4 12:30,4734.2
2022/6/4 12:45,4801.5
2022/6/4 13:00,5421.3
2022/6/4 13:15,5238.1
2022/6/4 13:30,4767.3
2022/6/4 13:45,3570.5
2022/6/4 14:00,2336.6
2022/6/4 14:15,1690.2
2022/6/4 14:30,1494.8
2022/6/4 14:45,1736.3
2022/6/4 15:00,2505.9
2022/6/4 15:15,2857.7
2022/6/4 15:30,3396.4
2022/6/4 15:45,3343.5
2022/6/4 16:00,3107.4
2022/6/4 16:15,3289.4
2022/6/4 16:30,3294.2
2022/6/4 16:45,4782
2022/6/4 17:00,5829
2022/6/4 17:15,6638.1
2022/6/4 17:30,6792.4
2022/6/4 17:45,6341.5
2022/6/4 18:00,6115.9
2022/6/4 18:15,4974.4
2022/6/4 18:30,3203.3
2022/6/4 18:45,2156
2022/6/4 19:00,1582.7
2022/6/4 19:15,1244.2
2022/6/4 19:30,837.8
2022/6/4 19:45,614
2022/6/4 20:00,508
2022/6/4 20:15,749.4
2022/6/4 20:30,698.8
2022/6/4 20:45,835.5
2022/6/4 21:00,957.1
2022/6/4 21:15,1095.3
2022/6/4 21:30,1101.5
2022/6/4 21:45,1120.5
2022/6/4 22:00,949.7
2022/6/4 22:15,1055.9
2022/6/4 22:30,972.1
2022/6/4 22:45,841
2022/6/4 23:00,912
2022/6/4 23:15,1582.3
2022/6/4 23:30,1596.6
2022/6/4 23:45,1757.9
2022/6/5 0:00,1902.2
2022/6/5 0:15,2103.6
2022/6/5 0:30,2057.6
2022/6/5 0:45,1768.4
2022/6/5 1:00,1723
2022/6/5 1:15,1476
2022/6/5 1:30,1485.8
2022/6/5 1:45,1716.5
2022/6/5 2:00,1914.5
2022/6/5 2:15,2345.1
2022/6/5 2:30,3277.7
2022/6/5 2:45,3512.5
2022/6/5 3:00,4198.6
2022/6/5 3:15,4946.5
2022/6/5 3:30,4798.5
2022/6/5 3:45,4950.2
2022/6/5 4:00,5688.1
2022/6/5 4:15,5618.1
2022/6/5 4:30,6103.3
2022/6/5 4:45,5852.3
2022/6/5 5:00,5943
2022/6/5 5:15,6182
2022/6/5 5:30,5974.4
2022/6/5 5:45,5841.3
2022/6/5 6:00,5919.7
2022/6/5 6:15,5291.5
2022/6/5 6:30,5008.4
2022/6/5 6:45,3947
2022/6/5 7:00,2603.6
2022/6/5 7:15,1584.9
2022/6/5 7:30,1097.8
2022/6/5 7:45,797.5
2022/6/5 8:00,635.2
2022/6/5 8:15,466.1
2022/6/5 8:30,575.3
2022/6/5 8:45,341.3
2022/6/5 9:00,323
2022/6/5 9:15,199.6
2022/6/5 9:30,136.9
2022/6/5 9:45,124.7
2022/6/5 10:00,206.1
2022/6/5 10:15,120.5
2022/6/5 10:30,324.8
2022/6/5 10:45,469
2022/6/5 11:00,536.9
2022/6/5 11:15,694.1
2022/6/5 11:30,1532.4
2022/6/5 11:45,3530.4
2022/6/5 12:00,3845.3
2022/6/5 12:15,4128.9
2022/6/5 12:30,4359.4
2022/6/5 12:45,4333.1
2022/6/5 13:00,4366.9
2022/6/5 13:15,3881.9
2022/6/5 13:30,2922.1
2022/6/5 13:45,2270.2
2022/6/5 14:00,1549.6
2022/6/5 14:15,1001.8
2022/6/5 14:30,1251.5
2022/6/5 14:45,1616.3
2022/6/5 15:00,2372.8
2022/6/5 15:15,2754.8
2022/6/5 15:30,2951.7
2022/6/5 15:45,3077.2
2022/6/5 16:00,2906.7
2022/6/5 16:15,2965.5
2022/6/5 16:30,3562.4
2022/6/5 16:45,4836.4
2022/6/5 17:00,5048.4
2022/6/5 17:15,5812.4
2022/6/5 17:30,6029.8
2022/6/5 17:45,5885.4
2022/6/5 18:00,5440.3
2022/6/5 18:15,4618.5
2022/6/5 18:30,3761.6
2022/6/5 18:45,2765.1
2022/6/5 19:00,1894.4
2022/6/5 19:15,1341.8
2022/6/5 19:30,895.4
2022/6/5 19:45,790.7
2022/6/5 20:00,890.9
2022/6/5 20:15,772.7
2022/6/5 20:30,1059.2
2022/6/5 20:45,1116.3
2022/6/5 21:00,983.9
2022/6/5 21:15,1284.3
2022/6/5 21:30,1174.3
2022/6/5 21:45,1056.9
2022/6/5 22:00,944.4
2022/6/5 22:15,1037.1
2022/6/5 22:30,1200.4
2022/6/5 22:45,1168.6
2022/6/5 23:00,969.8
2022/6/5 23:15,1194.6
2022/6/5 23:30,1439.1
2022/6/5 23:45,1471.9
2022/6/6 0:00,1440.5
2022/6/6 0:15,1431.6
2022/6/6 0:30,1849.8
2022/6/6 0:45,2175.9
2022/6/6 1:00,2041.8
2022/6/6 1:15,2092.1
2022/6/6 1:30,1941.2
2022/6/6 1:45,2235.8
2022/6/6 2:00,2744
2022/6/6 2:15,2660.7
2022/6/6 2:30,2914.1
2022/6/6 2:45,3104.4
2022/6/6 3:00,3752.5
2022/6/6 3:15,4320.5
2022/6/6 3:30,4237.6
2022/6/6 3:45,3825.2
2022/6/6 4:00,4152.2
2022/6/6 4:15,4218.1
2022/6/6 4:30,4653.9
2022/6/6 4:45,4539.9
2022/6/6 5:00,5297.4
2022/6/6 5:15,5836.9
2022/6/6 5:30,5890.2
2022/6/6 5:45,5503.8
2022/6/6 6:00,5331.2
2022/6/6 6:15,4516.6
2022/6/6 6:30,4362.8
2022/6/6 6:45,3676.8
2022/6/6 7:00,2782.5
2022/6/6 7:15,1975.9
2022/6/6 7:30,1313.4
2022/6/6 7:45,931.8
2022/6/6 8:00,582.1
2022/6/6 8:15,416.7
